HDI rank,Country,Human Development Group,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita (2011 PPP $),GNI per capita rank minus HDI rank,HDI Growth - 1990-2000,HDI Growth 2000-2010,HDI Growth 2010-2017,HDI Growth1990-2017,Gender Development Index,HDI - F,HDI - M,Life expect - F,Life expect - M,Expected years of schooling - F,Expected years of schooling - M,Adolescent birth rate ,Share of seats in parliament - % by women
159,Lesotho,Low,0.51972943,54.568,10.56401,6.25,3254.907249,-4,-0.662710267,0.537808674,0.766366749,0.150432763,1.004030659,0.518576,0.516494188,56.698,52.197,10.9578,10.1684,89.518,22.72727273
159,Mauritania,Low,0.519643721,63.384,8.58813,4.502,3591.761196,-13,1.685620727,0.959881826,0.946250271,1.224524424,0.844902748,0.469604686,0.555809159,64.918,61.861,8.529,8.6049,79.221,25.17006803
161,Madagascar,Low,0.519162527,66.312,10.56879,6.14595,1357.758439,20,,1.005245079,0.433908572,,0.962283121,0.511158517,0.531193477,67.91,64.73,10.4949,10.6446,109.59,19.62616822
162,Uganda,Low,0.516320815,60.182,11.588167,6.09025,1657.976334,13,2.513685927,2.020667683,0.858330461,1.899822386,0.864817238,0.475297144,0.549592588,62.389,57.953,11.0419,12.2471,106.502,34.29844098
163,Benin,Low,0.514619673,61.171,12.56764,3.64903,2061.433065,2,1.356190089,1.742008734,1.216632654,1.462663997,0.87534821,0.479129845,0.547359142,62.683,59.629,11.0672,14.0429,86.096,7.228915663
164,Senegal,Low,0.505133723,67.477,9.677004398,2.9862,2384.177299,-2,0.361262906,1.843075768,1.46864453,1.195041259,0.911255198,0.480868408,0.527698946,69.4,65.394,10.0485,9.3055,72.684,41.81818182
165,Comoros,Low,0.503253555,63.912,11.2447,4.832,1398.797513,15,,,0.628402782,,0.875913376,0.465467684,0.531408352,65.675,62.21,11.1113,11.3736,65.351,6.060606061
165,Togo,Low,0.50322,60.477,12.42428728,4.83068,1453.432247,14,0.495347248,0.709780189,1.408418166,0.81082957,0.821928104,0.445511561,0.542032276,61.313,59.631,9.9781,13.1638,89.091,17.58241758
167,Sudan,Low,0.502465678,64.698,7.42024,3.67,4119.151849,-25,1.961315735,1.580449432,0.947190779,1.556557992,0.831343742,0.446334197,0.53688285,66.318,63.098,7.1742,7.6594,63.993,31.04166667
168,Afghanistan,Low,0.497695114,64.047,10.39716,3.78,1823.52936,0,,,1.048753215,,0.625114199,0.364330332,0.582822039,65.425,62.764,8.0036,12.6552,64.462,27.44479495
168,Haiti,Low,0.497945111,63.589,9.3,5.25,1665.462596,6,0.783806109,0.613565476,0.829487855,0.732554478,,,,65.791,61.407,,,37.45,2.739726027
170,Côte d'Ivoire,Low,0.492304502,54.102,9.03737,5.192,3481.22531,-22,0.163654613,1.157887686,1.546383023,0.888718516,0.840753238,0.446130972,0.530632475,55.662,52.66,8.0715,9.9943,132.711,9.163346614
171,Malawi,Low,0.476552795,63.671,10.79649407,4.53,1064.416511,14,1.622543562,1.013915586,1.105798819,1.262773771,0.935823698,0.460315296,0.491882496,66.21,61.018,10.9445,10.7831,140.235,16.66666667
172,Djibouti,Low,0.476005731,62.643,6.234344887,4.07,3391.747048,-21,,2.153727417,0.823388476,,,,,64.36,60.994,5.7995,6.6673,18.841,10.76923077
173,Ethiopia,Low,0.462664092,65.874,8.539623052,2.68114,1719.378176,-1,,3.815173155,1.668702184,,0.84642499,0.424044483,0.500982944,67.784,63.997,8.2348,9.0847,62.459,37.28571429
174,Gambia,Low,0.460067236,61.424,9.150415,3.538,1515.619983,4,1.470324085,1.358079856,0.608567114,1.20470481,0.890177475,0.433824195,0.487345734,62.831,60.078,9.3372,9.2251,79.199,10.34482759
175,Guinea,Low,0.459111122,60.617,9.10472,2.56848,2066.672358,-11,1.752294017,2.094514476,1.831811604,1.89954373,0.809913869,0.411030741,0.507499323,61.166,60.054,7.7819,10.4032,135.294,21.92982456
176,Congo (Democratic Republic of the),Low,0.457469213,60.031,9.75,6.75948,795.8264152,12,-0.680277262,2.018054274,1.699483396,0.9283577,0.851756693,0.41961594,0.492647658,61.543,58.532,8.7,10.6131,124.22,8.166666667
177,Guinea-Bissau,Low,0.455303553,57.805,10.5,3.00392,1551.809772,0,,,0.948847332,,,,,59.548,56.048,,,84.482,13.7254902
178,Yemen,Low,0.451900426,65.157,8.977,3,1239.29141,5,1.03336217,1.180518146,-1.369126926,0.459070418,0.425410335,0.223120864,0.524483881,66.648,63.701,7.5561,10.3455,60.352,0.518134715
179,Eritrea,Low,0.439978538,65.536,5.37934,3.95245,1750.458994,-9,,,0.791756753,,,,,67.749,63.398,4.9079,5.8371,51.611,22
180,Mozambique,Low,0.436579911,58.872,9.66901,3.49912,1092.688158,4,3.613696293,3.093348058,1.133006504,2.772952833,0.904037117,0.414285621,0.458261738,60.966,56.671,9.1731,10.1656,135.247,39.6
181,Liberia,Low,0.435093908,63.006,10.03589975,4.668,666.7729501,9,,0.503630216,0.972419878,,0.845922997,0.397861471,0.470328236,64.009,61.999,9.2617,10.574,127.46,9.900990099
182,Mali,Low,0.426868861,58.456,7.7428,2.33342,1952.94601,-16,2.916990495,2.723736177,0.81474311,2.29655462,0.810801388,0.380311899,0.469056794,59.189,57.714,6.8451,8.6079,169.127,8.843537415
183,Burkina Faso,Low,0.423423185,60.77,8.52559,1.46953,1650.092096,-7,,2.742471931,1.759910181,,0.870261977,0.39348278,0.452142907,61.431,59.98,8.2766,8.7684,104.329,11.02362205
184,Sierra Leone,Low,0.418987065,52.214,9.848868,3.5,1239.936296,-2,0.321685755,3.095977618,1.204714613,1.570895827,0.871936527,0.389187835,0.446348815,52.82,51.61,9.3291,10.1898,112.828,12.39669421
185,Burundi,Low,0.417216174,57.857,11.68402,2.96889,702.2560922,4,0.230400095,2.682807615,0.770616984,1.272828827,1.001805984,0.418580286,0.4178257,59.879,55.883,11.2958,12.1114,26.782,37.80487805
186,Chad,Low,0.403970247,53.208,7.95605,2.32333,1750.185697,-15,,2.203673172,1.215702805,,0.775424779,0.350237598,0.451671919,54.455,51.981,6.3943,9.4955,161.09,12.76595745
187,South Sudan,Low,0.387725181,57.288,4.87162,4.84913,963.1740924,-1,,,-0.911419209,,0.825634889,0.348448699,0.422037275,58.34,56.253,3.8017,6.3022,62.04,26.55889145
188,Central African Republic,Low,0.366809345,52.89,7.180003207,4.256,663.1516331,3,-0.263236373,1.272549523,0.640820277,0.537766814,0.780160239,0.319292306,0.409265033,54.83,50.974,5.874,8.4787,103.802,8.571428571
189,Niger,Low,0.353931192,60.422,5.368508627,1.95133,905.8680486,-2,1.822702294,2.35094955,1.544524824,1.945699122,0.811721202,0.317181443,0.390751704,61.496,59.435,4.7381,5.984,191.984,16.95906433
Region,Arab States,,0.698954655,71.50650027,11.90613678,7.034884437,15836.65288,,0.954740972,0.964652606,0.507542282,0.842276505,0.85530367,0.629552464,0.736057246,73.40101268,69.79404985,11.5992713,12.19848473,46.28495557,18.03686063
Region,East Asia and the Pacific,,0.733434418,74.66739203,13.29281107,7.862160983,13687.7296,,1.450201776,1.481937404,0.833524867,1.301695575,0.956958652,0.717445552,0.749714264,76.6857524,72.785291,13.4858781,13.18688038,22.39630601,19.76708222
